feature,importance_iv,importance_vaso
ALT,0.04108330076595327,0.035024389192607065
rass,0.04152179070675754,0.0347982840765971
input_total,0.03726672887715164,0.03225625102594753
paO2_FiO2_novent,0.038086197214019984,0.029676103252085015
GCS,0.0244848816470532,0.02893393832322767
Arterial_lactate,0.03557742602454752,0.028290476822902685
age,0.04278891329460062,0.028151608535137963
Ionised_Ca,0.029458255946009947,0.027964261551749837
output_4hourly,0.026009911766046886,0.027671065507895647
weight_kg,0.02002359465709225,0.02640531365725854
Arterial_pH,0.025174122219111462,0.025716784952601393
paO2,0.02706070013979821,0.02448469532751022
RR,0.02346191839821437,0.024024780338542336
Sodium,0.027834761703737602,0.023700521494727008
Bilirubin,0.027885509277908404,0.02337548214577185
Arterial_BE,0.019627147677191033,0.02282139320718299
Platelets_count,0.025339133083036817,0.022738530379445763
output_total,0.022687496408416184,0.022419668453912932
cumulated_balance,0.016462257772134385,0.021731827854131094
Shock_Index,0.016508692541817332,0.02135284142063852
sysBP,0.017847596556384737,0.021260953096696046
Phosphate,0.018920568994203673,0.02118021151173734
pao2_fio2,0.02364513335951806,0.020901139325063912
Chloride,0.014692335985274602,0.020689207662876144
Bicarbonate,0.01573344738365905,0.020455775085491366
PTT,0.016404286764297976,0.019860908058229366
Glucose,0.022152684181271903,0.01949140163833397
SpO2,0.01782464874174073,0.018733574208920835
BUN,0.016891803247326708,0.01867327121215971
HCO3,0.01907130247098489,0.018483339160613718
sedation,0.020751071629087695,0.018284309889770225
Creatinine,0.01894825444416005,0.0179092987627032
Potassium,0.017619826531214508,0.017309319610531566
Magnesium,0.017964901581843315,0.01717716066275949
WBC_count,0.01238167895766602,0.01717715611126703
mechvent,0.01732838364697621,0.01702855727297311
temp_c,0.019493774895359115,0.016950114863032467
diaBP,0.012864494219246719,0.016718342362766432
SOFA,0.01540644544506778,0.016645647843865324
PT,0.013537743361904397,0.016270166394766257
paCO2,0.01572909806489826,0.016130929037951113
SGOT,0.01417297742076906,0.01596952339769773
meanBP,0.013348781140374516,0.015536286181578823
HR,0.014605571990656388,0.014320488506955395
Hb,0.010604466543467653,0.01384972700913334
previous_dose,0.007547134499800729,0.011375834775202138
pre_dose_vaso,0.006168847822246637,0.01007913883705077
